code_commune_insee,nb_maisons_total,1945-1975_moyen,pre1945_faible,1945-1975_faible,pre1945_nul,post2020_faible,1976-2020_nul,post2020_moyen,pre1945_fort,1976-2020_faible,1976-2020_moyen,1976-2020_fort,1945-1975_fort,pre1945_moyen,1945-1975_nul,post2020_nul,unk_fort,post2020_fort,unk_faible,unk_moyen,unk_nul,nb_maisons_exposition_rga,pct_exposition_rga
01032,748,0,147,108,1,19,0,0,0,468,0,0,0,0,0,5,0,0,0,0,0,742,0.9919786096256684
01033,2853,178,340,385,5,58,8,19,0,1005,475,0,0,358,5,13,0,0,3,1,0,2822,0.9891342446547494
01034,2039,6,650,295,5,57,5,0,0,891,56,0,0,51,0,17,0,0,6,0,0,2012,0.986758214811182
01035,186,0,75,28,3,4,0,0,0,67,1,0,0,7,0,1,0,0,0,0,0,182,0.978494623655914
01036,887,0,534,77,2,11,1,0,0,255,0,0,0,0,1,4,0,0,2,0,0,879,0.9909808342728298
01037,182,7,71,7,0,6,0,0,0,14,20,0,0,55,0,1,0,0,0,1,0,181,0.9945054945054945
01038,331,28,0,0,0,0,0,5,0,0,131,0,0,159,0,8,0,0,0,0,0,323,0.9758308157099698
01040,197,8,0,0,0,0,0,5,0,0,75,0,0,107,0,2,0,0,0,0,0,195,0.9898477157360406
01041,335,34,38,24,1,1,0,5,0,40,76,0,0,114,0,1,0,0,0,1,0,333,0.9940298507462687
01042,130,3,20,0,0,1,0,6,0,25,42,0,0,30,0,3,0,0,0,0,0,127,0.9769230769230769
01043,1585,21,271,344,0,98,1,2,0,780,46,0,0,17,1,3,0,0,1,0,0,1580,0.9968454258675079
01044,239,7,31,15,2,5,0,2,0,77,26,0,0,62,0,12,0,0,0,0,0,225,0.9414225941422594
01045,101,0,32,5,1,1,1,0,0,60,0,0,0,0,0,1,0,0,0,0,0,98,0.9702970297029703
01046,366,14,76,6,0,5,0,10,0,53,130,0,0,70,0,1,0,0,0,1,0,365,0.9972677595628415
01047,466,0,66,37,0,43,3,0,0,307,0,0,0,0,0,10,0,0,0,0,0,453,0.9721030042918455
01049,1059,18,225,206,0,33,3,1,0,504,59,0,0,0,0,9,0,0,1,0,0,1047,0.9886685552407932
01050,156,7,0,0,0,0,0,3,0,0,79,0,0,67,0,0,0,0,0,0,0,156,1.0
01051,87,4,17,10,0,0,0,0,0,5,10,0,0,39,2,0,0,0,0,0,0,85,0.9770114942528736
01052,137,0,57,11,1,3,2,0,0,63,0,0,0,0,0,0,0,0,0,0,0,134,0.9781021897810219
01053,4062,209,822,1016,8,59,9,12,0,1200,486,0,0,197,4,35,0,0,5,0,0,4006,0.9862136878385032
01054,578,17,45,14,1,17,2,16,0,146,211,0,0,104,0,5,0,0,0,0,0,570,0.986159169550173
01056,222,12,12,3,1,0,0,2,0,3,31,0,0,158,0,0,0,0,0,0,0,221,0.9954954954954955
01057,225,11,3,0,0,0,0,3,0,0,98,0,0,106,0,3,0,0,0,1,0,222,0.9866666666666667
01058,393,0,193,32,2,16,0,0,0,144,0,0,0,0,0,5,0,0,1,0,0,386,0.9821882951653944
01060,274,2,96,44,0,5,1,0,0,96,3,0,0,26,0,1,0,0,0,0,0,272,0.9927007299270073
01061,507,4,111,37,1,19,0,3,0,243,59,0,0,27,0,3,0,0,0,0,0,503,0.9921104536489151
01062,359,0,110,26,1,20,0,2,0,178,20,0,0,0,0,1,0,0,1,0,0,357,0.9944289693593314
01063,202,0,32,47,0,7,0,0,0,114,0,0,0,0,0,1,0,0,1,0,0,201,0.995049504950495
01064,481,1,149,28,2,14,1,1,0,261,7,0,0,1,1,15,0,0,0,0,0,462,0.9604989604989606
01065,702,29,54,70,0,16,1,18,0,218,235,0,0,57,0,2,0,0,1,1,0,699,0.9957264957264957
01066,95,0,61,2,4,0,0,0,0,8,0,0,0,20,0,0,0,0,0,0,0,91,0.9578947368421052
01067,113,1,55,6,2,0,0,0,0,44,4,0,0,0,0,1,0,0,0,0,0,110,0.9734513274336283
01068,378,36,65,14,2,1,0,1,0,7,66,0,0,185,0,0,0,0,1,0,0,376,0.9947089947089947
01069,528,2,79,59,0,20,2,0,0,347,9,0,0,9,0,1,0,0,0,0,0,525,0.9943181818181818
01071,1089,0,61,82,0,50,0,0,0,868,25,0,0,0,0,3,0,0,0,0,0,1086,0.9972451790633609
01072,1095,193,0,1,1,0,0,37,0,1,595,0,0,254,0,11,0,0,0,2,0,1083,0.989041095890411
01073,597,1,311,30,10,11,7,1,0,183,13,0,0,28,1,1,0,0,0,0,0,578,0.9681742043551089
01074,735,35,161,61,2,7,2,4,0,348,50,0,0,64,0,1,0,0,0,0,0,730,0.9931972789115646
01075,520,0,150,11,2,66,0,0,0,273,0,0,0,0,0,18,0,0,0,0,0,500,0.9615384615384616
01076,128,2,38,2,2,0,0,0,0,4,4,0,0,75,1,0,0,0,0,0,0,125,0.9765625
01077,111,1,51,10,0,1,0,0,0,34,3,0,0,11,0,0,0,0,0,0,0,111,1.0
01078,507,45,41,35,3,2,1,9,0,92,212,0,0,65,0,2,0,0,0,0,0,501,0.9881656804733728
01079,318,0,173,22,0,6,0,0,0,114,0,0,0,0,0,2,0,0,1,0,0,316,0.9937106918238994
01080,321,6,107,38,0,6,1,0,0,107,11,0,0,45,0,0,0,0,0,0,0,320,0.9968847352024922
01081,293,1,111,15,5,9,0,0,0,114,4,0,0,21,7,6,0,0,0,0,0,275,0.9385665529010239
01082,224,1,86,19,11,1,4,0,0,91,1,0,0,3,6,0,0,0,1,0,0,203,0.90625
01083,371,0,124,8,0,14,1,0,0,223,0,0,0,0,0,1,0,0,0,0,0,369,0.9946091644204852
01084,383,4,126,14,0,15,1,0,0,193,6,0,0,19,0,4,0,0,1,0,0,378,0.9869451697127938
01085,168,0,72,11,1,1,1,0,0,82,0,0,0,0,0,0,0,0,0,0,0,166,0.9880952380952381
01087,147,0,78,19,1,1,0,0,0,47,0,0,0,0,0,1,0,0,0,0,0,145,0.9863945578231292
01088,386,0,65,70,0,15,1,0,0,232,0,0,0,0,0,3,0,0,0,0,0,382,0.9896373056994818
01089,897,4,144,110,0,73,1,0,0,549,1,0,0,0,0,14,0,0,1,0,0,882,0.9832775919732442
01090,158,0,81,4,0,4,0,0,0,68,0,0,0,0,1,0,0,0,0,0,0,157,0.9936708860759493
01092,690,57,107,36,2,17,0,11,0,128,214,0,0,109,1,6,0,0,0,2,0,681,0.9869565217391304
01093,1338,7,329,152,3,54,1,1,0,680,76,0,0,24,0,8,0,0,3,0,0,1326,0.9910313901345291
01094,356,30,1,0,0,0,0,6,0,0,118,0,0,198,0,3,0,0,0,0,0,353,0.9915730337078652
01095,423,27,67,6,9,7,33,6,0,35,58,0,0,173,0,2,0,0,0,0,0,379,0.8959810874704491
01096,430,5,138,24,0,13,0,2,0,148,45,0,0,48,0,7,0,0,0,0,0,423,0.9837209302325581
01098,485,14,136,43,0,7,2,4,0,129,87,0,0,57,0,6,0,0,0,0,0,477,0.9835051546391752
01099,626,0,188,77,0,28,2,0,0,327,0,0,0,0,0,4,0,0,0,0,0,620,0.9904153354632588
01100,108,0,92,5,0,0,0,0,0,10,0,0,0,0,0,0,0,0,1,0,0,108,1.0
01101,87,0,54,3,0,3,0,0,0,27,0,0,0,0,0,0,0,0,0,0,0,87,1.0
01102,416,20,0,0,0,0,0,16,0,0,223,0,0,146,0,11,0,0,0,0,0,405,0.9735576923076923
01103,472,0,65,61,1,28,1,0,0,315,0,0,0,0,0,1,0,0,0,0,0,469,0.9936440677966102
01104,257,14,75,4,2,1,0,3,0,36,28,0,0,94,0,0,0,0,0,0,0,255,0.9922178988326849
01105,611,0,128,50,1,34,2,0,0,393,0,0,0,0,0,3,0,0,0,0,0,605,0.9901800327332242
01106,94,1,38,18,0,0,0,0,0,37,0,0,0,0,0,0,0,0,0,0,0,94,1.0
01107,107,4,0,0,0,0,0,2,0,0,23,0,0,78,0,0,0,0,0,0,0,107,1.0
01108,536,67,0,0,30,0,17,15,0,0,129,0,0,264,7,6,0,0,0,1,0,476,0.8880597014925373
01109,697,3,150,79,2,26,0,0,0,430,1,0,0,5,0,1,0,0,0,0,0,694,0.9956958393113343
01110,79,1,29,7,0,0,0,1,0,7,8,0,0,26,0,0,0,0,0,0,0,79,1.0
01111,112,9,0,0,1,0,0,2,0,0,16,0,0,83,0,0,0,0,0,1,0,111,0.9910714285714286
01112,166,0,47,9,0,5,0,0,0,105,0,0,0,0,0,0,0,0,0,0,0,166,1.0
01113,307,4,85,14,0,1,0,1,0,76,72,0,0,54,0,0,0,0,0,0,0,307,1.0
01114,201,0,69,21,1,6,0,0,0,101,1,0,0,1,0,0,0,0,1,0,0,200,0.9950248756218906
01115,449,35,0,0,0,0,0,7,0,0,221,0,0,184,0,2,0,0,0,0,0,447,0.9955456570155902
01116,293,6,153,9,0,1,0,0,0,62,38,0,0,23,0,1,0,0,0,0,0,292,0.9965870307167235
01117,81,0,52,7,0,0,0,0,0,20,1,0,0,1,0,0,0,0,0,0,0,81,1.0
01118,545,7,220,55,4,25,1,0,0,189,11,0,0,27,1,4,0,0,1,0,0,535,0.981651376146789
01121,53,0,25,7,0,0,0,0,0,15,3,0,0,3,0,0,0,0,0,0,0,53,1.0
01123,510,20,160,43,1,25,0,7,0,114,95,0,0,42,0,3,0,0,0,0,0,506,0.9921568627450981
01124,338,31,1,0,1,0,0,7,0,0,125,0,0,173,0,0,0,0,0,0,0,337,0.9970414201183432
01125,337,3,123,40,34,5,14,0,0,82,5,0,0,24,6,1,0,0,0,0,0,282,0.8367952522255193
01127,265,44,1,0,8,0,21,3,0,1,60,0,0,123,3,0,0,0,0,1,0,233,0.879245283018868
01128,139,9,0,0,1,0,0,1,0,0,70,0,0,58,0,0,0,0,0,0,0,138,0.9928057553956835
01129,134,6,18,2,0,0,0,6,0,33,46,0,0,21,0,1,0,0,0,1,0,133,0.9925373134328358
01130,885,33,122,16,4,10,0,14,0,249,248,0,0,183,0,6,0,0,0,0,0,875,0.9887005649717514
01133,212,0,104,17,0,0,2,0,0,89,0,0,0,0,0,0,0,0,0,0,0,210,0.9905660377358491
01134,717,87,45,10,0,0,0,23,0,21,426,0,0,100,0,5,0,0,0,0,0,712,0.99302649930265
01135,692,0,86,96,1,24,3,0,0,470,0,0,0,0,2,10,0,0,0,0,0,676,0.976878612716763
01136,396,6,103,7,0,23,0,1,0,128,59,0,0,62,0,7,0,0,0,0,0,389,0.9823232323232324
01138,1111,22,353,205,2,27,5,0,0,369,78,0,0,42,0,7,0,0,1,0,0,1097,0.9873987398739874
01139,245,36,0,0,0,0,0,1,0,0,48,0,0,160,0,0,0,0,0,0,0,245,1.0
01140,294,23,0,0,1,0,1,3,0,0,150,0,0,115,0,1,0,0,0,0,0,291,0.9897959183673469
01141,219,6,34,2,0,1,0,1,0,73,47,0,0,52,0,3,0,0,0,0,0,216,0.9863013698630136
01142,1216,82,230,97,0,21,3,6,0,583,186,0,0,5,0,1,0,0,2,0,0,1212,0.9967105263157895
01143,1630,6,176,286,2,59,8,2,0,1039,30,0,0,14,0,5,0,0,3,0,0,1615,0.99079754601227
01145,465,1,189,38,2,9,1,1,0,211,2,0,0,10,0,1,0,0,0,0,0,461,0.9913978494623656
01146,164,0,61,10,0,5,0,0,0,83,1,0,0,2,0,2,0,0,0,0,0,162,0.9878048780487805
01147,227,27,0,0,1,0,1,1,0,0,65,0,0,132,0,0,0,0,0,0,0,225,0.9911894273127754
01148,602,2,60,144,0,31,2,0,0,352,5,0,0,6,0,0,0,0,0,0,0,600,0.9966777408637874
01149,435,45,0,0,0,0,2,10,0,0,257,0,0,119,0,1,0,0,0,1,0,432,0.993103448275862
01150,112,0,71,9,0,4,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,112,1.0
01151,578,13,205,39,0,15,0,3,0,168,87,0,0,45,2,0,0,0,1,0,0,576,0.9965397923875432
01152,389,0,140,79,1,13,2,0,0,153,0,0,0,0,0,0,0,0,1,0,0,386,0.9922879177377892
01153,725,0,57,58,0,32,2,0,0,574,0,0,0,0,0,2,0,0,0,0,0,721,0.9944827586206897
01155,96,5,0,0,0,0,1,3,0,0,31,0,0,53,0,3,0,0,0,0,0,92,0.9583333333333334
01156,337,8,54,17,1,13,1,7,0,161,46,0,0,27,0,2,0,0,0,0,0,333,0.9881305637982196
01157,880,0,282,97,0,67,0,0,0,427,0,0,0,0,0,4,0,0,3,0,0,876,0.9954545454545455
01158,377,2,82,43,3,25,5,0,0,208,2,0,0,0,2,5,0,0,0,0,0,362,0.9602122015915119
01159,1309,150,113,68,2,3,2,15,0,136,539,0,0,265,1,14,0,0,0,1,0,1290,0.985485103132162
01160,333,0,69,81,0,12,1,0,0,170,0,0,0,0,0,0,0,0,0,0,0,332,0.996996996996997
01162,49,0,26,1,0,9,0,0,0,13,0,0,0,0,0,0,0,0,0,0,0,49,1.0
01163,849,71,1,0,2,0,2,25,0,0,363,0,0,382,0,2,0,0,0,1,0,843,0.9929328621908127
01165,585,0,88,53,0,15,37,0,0,380,0,0,0,0,9,3,0,0,0,0,0,536,0.9162393162393162
01166,875,0,92,109,0,77,2,0,0,594,0,0,0,0,0,1,0,0,0,0,0,872,0.9965714285714286
01167,299,11,37,6,0,1,0,15,0,13,116,0,0,99,0,1,0,0,0,0,0,298,0.9966555183946488
01169,256,0,68,19,0,10,0,0,0,158,0,0,0,0,0,1,0,0,0,0,0,255,0.99609375
01170,364,2,31,22,0,8,0,4,0,280,9,0,0,8,0,0,0,0,0,0,0,364,1.0
01171,277,19,2,4,0,4,12,0,0,73,135,0,0,28,0,0,0,0,0,0,0,265,0.9566787003610109
01173,1443,1,231,204,3,32,19,0,0,925,0,0,0,2,23,1,0,0,2,0,0,1397,0.9681219681219682
01174,111,0,65,11,0,4,0,0,0,31,0,0,0,0,0,0,0,0,0,0,0,111,1.0
01175,320,46,3,0,0,1,0,9,0,0,179,0,0,73,0,9,0,0,0,0,0,311,0.971875
01177,108,13,0,0,1,0,21,1,0,1,16,0,0,45,10,0,0,0,0,0,0,76,0.7037037037037037
01179,772,46,217,69,0,15,0,9,0,254,116,0,0,45,0,1,0,0,0,0,0,771,0.9987046632124352
01180,302,11,29,55,0,9,6,5,0,135,24,0,0,18,7,2,0,0,1,0,0,287,0.9503311258278145
01181,408,0,25,42,0,3,0,0,0,335,0,0,0,2,0,1,0,0,0,0,0,407,0.9975490196078431
01183,554,0,128,45,0,17,0,0,0,314,45,0,0,4,0,0,0,0,1,0,0,554,1.0
01184,480,31,228,43,1,5,11,0,0,116,18,0,0,11,15,0,0,0,1,0,0,453,0.94375
01185,1573,4,562,251,27,23,8,0,0,557,17,0,0,110,3,8,0,0,3,0,0,1527,0.9707565162110616
01187,577,3,381,47,7,6,5,0,0,119,1,0,0,5,1,0,0,0,2,0,0,564,0.9774696707105719
01188,261,0,123,5,0,2,0,0,0,121,3,0,0,7,0,0,0,0,0,0,0,261,1.0
01189,404,0,170,40,0,8,0,0,0,178,1,0,0,3,0,4,0,0,0,0,0,400,0.9900990099009901
01190,92,0,57,21,0,0,0,0,0,14,0,0,0,0,0,0,0,0,0,0,0,92,1.0
01191,80,0,47,4,0,1,0,0,0,28,0,0,0,0,0,0,0,0,0,0,0,80,1.0
01192,680,0,145,53,1,24,1,0,0,442,5,0,0,5,0,2,0,0,2,0,0,676,0.9941176470588236
01193,128,0,73,10,0,6,1,0,0,37,0,0,0,0,0,1,0,0,0,0,0,126,0.984375
01194,1485,10,115,240,1,22,24,1,0,1050,18,0,0,2,0,1,0,0,1,0,0,1459,0.9824915824915825
01195,672,77,1,0,0,0,3,28,0,0,420,0,0,133,0,9,0,0,0,1,0,660,0.9821428571428571
01196,480,52,2,1,0,0,0,20,0,0,225,0,0,179,0,1,0,0,0,0,0,479,0.9979166666666667
01197,187,15,2,6,17,0,16,1,0,11,44,0,0,71,4,0,0,0,0,0,0,150,0.8021390374331551
01198,104,0,49,7,1,0,0,0,0,46,0,0,0,0,0,0,0,0,1,0,0,103,0.9903846153846154
01199,875,39,146,40,3,20,6,3,0,135,165,0,0,311,0,4,0,0,1,2,0,862,0.9851428571428571
01200,94,1,43,15,1,1,0,0,0,29,1,0,0,3,0,0,0,0,0,0,0,93,0.9893617021276596
01202,2067,34,447,385,5,49,1,0,0,1095,15,0,0,10,0,22,0,0,4,0,0,2039,0.9864537977745524
01203,454,16,47,11,0,5,1,11,0,78,226,0,0,53,0,6,0,0,0,0,0,447,0.9845814977973568
01204,351,7,140,35,0,3,5,0,0,113,39,0,0,3,0,5,0,0,1,0,0,341,0.9715099715099715
01206,134,0,51,20,0,1,0,0,0,62,0,0,0,0,0,0,0,0,0,0,0,134,1.0
01207,139,0,57,6,1,6,0,0,0,69,0,0,0,0,0,0,0,0,0,0,0,138,0.9928057553956835
01208,86,0,57,5,0,0,0,0,0,23,0,0,0,0,0,0,0,0,1,0,0,86,1.0
01209,314,8,75,24,0,15,1,0,0,125,22,0,0,42,0,2,0,0,0,0,0,311,0.9904458598726115
01210,85,9,17,6,2,1,0,1,0,3,23,0,0,22,0,0,0,0,0,1,0,83,0.9764705882352941
01211,587,3,170,49,3,27,0,0,0,302,5,0,0,13,0,15,0,0,0,0,0,569,0.969335604770017
01212,313,29,0,0,0,0,0,1,0,0,130,0,0,151,0,1,0,0,0,1,0,312,0.9968051118210862
01213,509,11,87,51,3,10,0,3,0,201,76,0,0,64,0,1,0,0,2,0,0,505,0.9921414538310412
01214,99,4,40,4,2,2,1,1,0,15,8,0,0,21,1,0,0,0,0,0,0,95,0.9595959595959596
01215,94,0,40,0,8,1,3,0,0,19,7,0,0,15,1,0,0,0,0,0,0,82,0.8723404255319149
01216,464,0,268,67,2,5,1,0,0,110,2,0,0,7,1,0,0,0,1,0,0,460,0.9913793103448276
01219,102,2,59,1,0,4,0,0,0,17,4,0,0,14,0,1,0,0,0,0,0,101,0.9901960784313726
01224,1046,0,203,123,0,57,2,0,0,656,0,0,0,0,1,3,0,0,1,0,0,1040,0.994263862332696
01225,172,0,81,4,1,6,0,0,0,79,0,0,0,0,0,1,0,0,0,0,0,170,0.9883720930232558
01227,354,9,127,12,1,12,1,5,0,71,43,0,0,71,0,2,0,0,0,0,0,350,0.9887005649717514
01228,226,0,68,41,1,6,0,1,0,109,0,0,0,0,0,0,0,0,0,0,0,225,0.995575221238938
01229,414,23,14,5,1,0,0,4,0,17,261,0,0,87,0,2,0,0,0,0,0,411,0.9927536231884058
01230,159,4,3,0,0,0,0,8,0,1,51,0,0,92,0,0,0,0,0,0,0,159,1.0
01231,838,83,31,1,0,0,2,30,0,22,397,0,0,257,0,14,0,0,0,1,0,822,0.9809069212410502
01232,867,103,0,1,1,0,1,14,0,0,400,0,0,345,0,2,0,0,0,0,0,863,0.9953863898500577
01233,98,0,68,5,0,2,0,0,0,13,1,0,0,9,0,0,0,0,0,0,0,98,1.0
01234,90,5,29,2,0,0,0,2,0,11,18,0,0,23,0,0,0,0,0,0,0,90,1.0
01235,323,0,92,43,1,11,1,0,0,170,0,0,0,0,0,5,0,0,0,0,0,316,0.978328173374613
01236,454,36,0,0,1,0,0,8,0,0,197,0,0,211,0,1,0,0,0,0,0,452,0.9955947136563876
01237,519,0,87,94,0,19,2,0,0,315,0,0,0,0,0,1,0,0,1,0,0,516,0.9942196531791907
01238,959,0,95,195,2,78,1,0,0,579,0,0,0,0,2,7,0,0,0,0,0,947,0.9874869655891554
01239,340,7,106,10,0,17,1,1,0,125,27,0,0,39,0,6,0,0,1,0,0,333,0.9794117647058823
01240,390,21,116,92,0,10,0,0,0,107,10,0,0,33,1,0,0,0,0,0,0,389,0.9974358974358974
01241,587,35,27,2,19,0,25,14,0,21,243,0,0,190,3,8,0,0,0,0,0,532,0.9063032367972743
01242,83,3,1,0,2,0,0,1,0,0,8,0,0,68,0,0,0,0,0,0,0,81,0.9759036144578314
01243,556,0,180,82,0,32,0,0,0,253,0,0,0,0,0,8,0,0,1,0,0,548,0.9856115107913669
01244,1955,138,109,170,0,87,8,29,0,783,415,0,0,180,0,29,0,0,7,0,0,1918,0.981074168797954
01245,462,17,51,11,47,10,43,5,0,52,84,0,0,132,4,5,0,0,0,1,0,363,0.7857142857142857
01246,774,87,46,16,0,2,0,25,0,30,369,0,0,190,0,8,0,0,1,0,0,766,0.9896640826873385
01247,194,10,24,8,0,4,8,3,0,71,32,0,0,33,1,0,0,0,0,0,0,185,0.9536082474226805
01248,670,0,74,68,0,13,2,0,0,508,0,0,0,0,0,5,0,0,0,0,0,663,0.9895522388059701
01249,1996,80,478,245,3,50,2,4,0,857,182,0,0,81,0,10,0,0,2,2,0,1981,0.9924849699398798
01250,649,0,129,60,2,15,2,0,0,438,0,0,0,0,0,3,0,0,0,0,0,642,0.9892141756548536
01252,356,10,152,5,0,10,0,7,0,97,36,0,0,39,0,0,0,0,0,0,0,356,1.0
01254,805,23,60,80,0,15,0,5,0,427,157,0,0,35,0,3,0,0,0,0,0,802,0.9962732919254659
01255,308,20,12,20,1,11,2,2,0,59,52,0,0,125,0,4,0,0,0,0,0,301,0.9772727272727273
01257,164,0,57,18,1,1,0,0,0,71,4,0,0,12,0,0,0,0,0,0,0,163,0.9939024390243902
01258,427,2,110,31,0,12,1,0,0,240,24,0,0,7,0,0,0,0,0,0,0,426,0.9976580796252927
01259,255,7,28,9,1,4,0,4,0,89,74,0,0,38,0,1,0,0,0,0,0,253,0.9921568627450981
01260,127,0,48,9,0,10,0,0,0,60,0,0,0,0,0,0,0,0,0,0,0,127,1.0
01261,247,0,65,17,0,6,0,0,0,159,0,0,0,0,0,0,0,0,0,0,0,247,1.0
01262,1346,83,295,108,2,18,5,4,0,489,250,0,0,83,1,3,0,0,4,0,1,1334,0.9910846953937593
01263,1322,6,218,157,66,33,99,6,0,656,37,0,0,14,26,3,0,0,1,0,0,1128,0.8532526475037822
01264,397,10,73,24,0,6,0,2,0,165,67,0,0,41,0,8,0,0,1,0,0,389,0.9798488664987406
01265,656,0,145,180,1,8,0,0,0,320,0,0,0,0,0,1,0,0,1,0,0,654,0.9969512195121951
01266,804,155,0,0,0,0,3,10,0,0,459,0,0,175,0,1,0,0,0,1,0,800,0.9950248756218906
01267,369,2,81,46,2,5,2,0,0,187,11,0,0,31,0,2,0,0,0,0,0,363,0.983739837398374
01268,131,0,65,2,0,0,0,0,0,62,0,0,0,0,0,2,0,0,0,0,0,129,0.9847328244274809
01269,340,49,78,46,2,7,1,1,0,42,42,0,0,65,0,7,0,0,0,0,0,330,0.9705882352941176
01272,586,1,250,65,2,15,0,0,0,237,4,0,0,10,0,2,0,0,0,0,0,582,0.9931740614334471
01273,783,40,119,56,0,9,2,3,0,142,167,0,0,232,0,12,0,0,1,0,0,769,0.9821200510855683
01274,178,0,54,40,1,1,0,0,0,71,9,0,0,2,0,0,0,0,0,0,0,177,0.9943820224719101
01275,740,73,54,39,2,14,0,7,0,220,194,0,0,133,0,4,0,0,0,0,0,734,0.9918918918918919
01276,557,0,109,88,2,10,1,0,0,345,0,0,0,0,1,1,0,0,0,0,0,552,0.9910233393177738
01277,95,5,0,0,0,0,0,0,0,0,11,0,0,79,0,0,0,0,0,0,0,95,1.0
01279,71,6,1,0,2,0,0,0,0,0,11,0,0,51,0,0,0,0,0,0,0,69,0.971830985915493
01280,128,4,49,13,0,2,0,1,0,19,9,0,0,31,0,0,0,0,0,0,0,128,1.0
01281,755,0,61,119,0,8,1,0,0,546,20,0,0,0,0,0,0,0,0,0,0,754,0.9986754966887417
01282,113,0,39,14,0,5,0,0,0,54,0,0,0,1,0,0,0,0,0,0,0,113,1.0
01283,2676,2,747,720,6,74,29,0,0,1065,19,0,0,4,2,4,0,0,4,0,0,2635,0.9846786248131539
01284,284,10,1,0,0,0,0,20,0,0,165,0,0,87,0,1,0,0,0,0,0,283,0.9964788732394366
01285,457,0,122,44,3,12,2,0,0,273,0,0,0,0,0,1,0,0,0,0,0,451,0.986870897155361
01286,482,0,194,46,1,5,1,0,0,228,0,0,0,0,0,7,0,0,0,0,0,473,0.9813278008298755
01288,789,4,158,98,6,19,14,1,0,453,19,0,0,15,1,0,0,0,1,0,0,768,0.973384030418251
01289,1865,201,125,225,2,9,2,39,0,585,579,0,0,90,1,6,0,0,0,1,0,1854,0.9941018766756032
