code_commune_insee,agri_nul,resid_nul,autres_nul,rervice_nul,autres_faible,agri_faible,indus_nul,autres_fort,resid_moyen,rervice_fort,indus_moyen,rervice_moyen,autres_moyen,rervice_faible,resid_fort,agri_fort,resid_faible,agri_moyen,indus_faible,indus_fort,nb_bats_total,nb_bats_exposition_tri,pct_exposition_tri
32392,13,31,155,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,200,0,0.0
32393,55,44,135,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,239,0,0.0
32394,50,129,375,6,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,560,0,0.0
32395,25,86,240,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,356,0,0.0
32396,13,116,298,3,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,431,0,0.0
32397,163,107,398,8,0,0,9,0,0,0,0,0,0,0,0,0,0,0,0,0,685,0,0.0
32398,44,165,406,27,0,0,23,0,0,0,0,0,0,0,0,0,0,0,0,0,665,0,0.0
32399,3,33,103,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,140,0,0.0
32400,17,115,246,4,0,0,1,0,0,0,0,0,0,0,0,0,0,0,0,0,383,0,0.0
32401,30,32,136,1,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,199,0,0.0
32402,15,58,161,2,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,0,236,0,0.0
